year,source,median_income_all_households,median_income_2_person,median_income_3_person,median_income_4_person,median_income_5_person,median_income_6_person,median_income_7plus_person
2005,ACS 1-year,42562,28856,55241,54372,51174,53745,48368
2006,ACS 1-year,47974,30271,60275,56419,68657,65092,89111
2007,ACS 1-year,50476,33439,62391,67413,51984,72973,73668
2008,ACS 1-year,51688,35035,67629,64900,75743,78975,78738
2009,ACS 1-year,55979,38625,73543,64727,70455,96645,82688
2010,ACS 1-year,49893,29313,62418,70748,65699,62919,44516
2011,ACS 1-year,49081,28459,65886,52015,71439,67031,63691
2012,ACS 1-year,51642,33672,66426,57621,74095,71877,97162
2013,ACS 1-year,53583,35766,67734,62326,65062,63910,93463
2014,ACS 1-year,56902,32437,75365,67339,69394,72483,56841
2015,ACS 1-year,58263,37607,80436,75067,76258,84195,65048
2016,ACS 1-year,63621,37179,90800,80244,86214,85083,71579
2017,ACS 1-year,66758,36175,89500,87210,86871,93050,54447
2018,ACS 1-year,71834,37505,94408,101131,90977,85088,114680
2019,ACS 1-year,79018,41734,104883,99193,142556,112897,161466
2020,ACS 5-year,76298,41509,102147,98858,105667,101429,109430
2021,ACS 1-year,79283,51167,104809,96948,119266,123874,57465
2022,ACS 1-year,86331,54499,114707,98572,130757,125773,202663
2023,ACS 1-year,96931,54599,130740,121570,144746,96225,208955
