year,source,total_households,lt_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus,low_income_under_50k,middle_income_50k_to_125k,high_income_125k_plus,pct_low_income_under_50k,pct_middle_income_50k_to_125k,pct_high_income_125k_plus
2005,ACS 1-year,233028,37097,18983,11816,11537,9769,10951,9186,10576,9087,16398,20380,24313,16172,7980,7926,10857,129002,77263,26763,55.36,33.16,11.48
2006,ACS 1-year,231522,31659,15453,12260,11834,11660,9513,8377,9920,9247,15966,22979,23460,16336,11462,11406,9990,119923,78741,32858,51.8,34.01,14.19
2007,ACS 1-year,229787,30884,16261,11393,9304,11217,9098,9316,9530,6609,16545,21069,28660,16007,9271,10180,14443,113612,82281,33894,49.44,35.81,14.75
2008,ACS 1-year,232969,28564,13613,12336,11602,10181,9488,9062,9466,7508,17444,18012,26607,17683,10951,13685,16767,111820,79746,41403,48.0,34.23,17.77
2009,ACS 1-year,240155,28509,15194,10434,9032,8059,9599,8553,11257,9019,16921,22985,28973,20641,13462,12874,14643,109656,89520,40979,45.66,37.28,17.06
2010,ACS 1-year,251721,38718,15509,12943,11031,9886,10312,9539,9534,8520,16097,22918,25057,19257,12302,13485,16613,125992,83329,42400,50.05,33.1,16.84
2011,ACS 1-year,251745,35653,18387,14755,10663,9461,10487,9561,9011,9082,15014,22600,27454,17781,12596,12890,16350,127060,82849,41836,50.47,32.91,16.62
2012,ACS 1-year,247254,35448,14835,14748,10960,7652,9073,9113,9517,8230,17554,19411,26276,21277,12794,13006,17360,119576,84518,43160,48.36,34.18,17.46
2013,ACS 1-year,251757,31998,15685,12108,10341,10088,8843,8950,10783,9578,16951,23102,25640,19617,14136,15601,18336,118374,85310,48073,47.02,33.89,19.1
2014,ACS 1-year,253749,30452,20468,11706,11792,9090,9553,7914,6693,7466,14773,22495,25227,21268,14672,17928,22252,115134,83763,54852,45.37,33.01,21.62
2015,ACS 1-year,261492,29216,19276,11654,10278,10312,9058,9041,9283,7938,16867,19967,26570,24623,15895,17197,24317,116056,88027,57409,44.38,33.66,21.95
2016,ACS 1-year,267592,30594,17056,12135,10187,8348,10020,8200,8698,7352,15380,21792,25805,24089,18146,22895,26895,112590,87066,67936,42.08,32.54,25.39
2017,ACS 1-year,268304,28606,16632,12298,11450,7492,9565,8775,7608,7495,13172,21451,30289,25866,15778,22700,29127,109921,90778,67605,40.97,33.83,25.2
2018,ACS 1-year,274674,26443,17469,12534,9497,8374,7244,6910,10007,6895,14940,19845,31701,24522,17262,26085,34946,105373,91008,78293,38.36,33.13,28.5
2019,ACS 1-year,271553,26644,14343,9022,9204,7582,7858,7246,7600,5558,14073,21318,27265,20474,19939,30316,43111,95057,83130,93366,35.0,30.61,34.38
2020,ACS 5-year,273188,25327,16503,10660,10398,7103,8335,7201,8435,7328,13539,19889,29061,24325,19231,27267,38586,101290,86814,85084,37.08,31.78,31.14
2021,ACS 1-year,271941,25836,16863,9283,8177,8235,7380,6844,6315,5179,15531,21289,27482,25800,17780,23237,46710,94112,90102,87727,34.61,33.13,32.26
2022,ACS 1-year,284061,25798,12708,9039,9118,9388,6702,8590,8872,6618,13004,17879,29286,24938,19065,27471,55585,96833,85107,102121,34.09,29.96,35.95
2023,ACS 1-year,288129,20438,13153,10275,9251,6148,8918,7039,6326,6807,12884,19234,26492,25743,19893,30483,65045,88355,84353,115421,30.67,29.28,40.06
